[1, 0.461538, 0.214178, 0.333333], -0.01
[1, 0.230769, 0.728507, 0.0], -0.02062
[1, 0.326923, 0.493213, 0.25], -0.010309
[1, 0.461538, 0.214178, 0.0], -0.021053
[1, 0.461538, 0.214178, 0.25], -0.010753
[1, 0.769231, 0.0181, 0.0], -0.021978
[1, 0.134615, 0.909502, 0.25], -0.010101
[1, 0.269231, 0.628959, 0.25], -0.35
[2, 0.090186, 0.628959, 0.0], -0.35
[3, 0.153846, 0.628959, 0.192308], -0.35
[4, 0.161804, 0.7, 0.108696], -0.35
[1, 0.211538, 0.764706, 0.0], -0.107692
[2, 0.095491, 0.4647, 0.0], -0.107692
[3, 0.114058, 0.5, 0.0], -0.107692
[4, 0.119363, 0.6, 0.0], -0.107692
[4, 0.119363, 0.6, 0.357143], -0.107692
[1, 0.269231, 0.628959, 0.25], -0.235294
[2, 0.087533, 0.728, 0.357143], -0.235294
[3, 0.116711, 0.828, 0.230769], -0.235294
